site	alpha	beta1	p1	beta+	p+	LRT	p-value	#_branches_under_selection	Total_branch_length	MEME_LogL	FEL_LogL	LRT_MEME_vs_FEL	FEL_alpha	FEL_beta
249	3.2182	0.00028443	0.010177	15.031	0.98982	2.86	0.11499	0	0	-44.838	-44.821	1	3.2957	14.856
250	3.5549	1.7783	0.52061	11.408	0.47939	0.62982	0.39584	0	0	-28.693	-28.724	0.96913	3.5861	6.1692
251	0.00015366	9.2111e-09	0.01012	7.752	0.98988	3.4581	0.083949	0	0	-25.765	-25.758	1	0.00015	7.6334
252	6.5902	0	0.75784	55.235	0.24216	4.0165	0.062734	2	0	-36.427	-38.382	0.14154	6.1107	8.903
253	2.2036e-06	7.6558e-07	0.80629	18.554	0.19371	3.783	0.070842	2	0	-15.86	-16.687	0.43743	2.0124e-05	3.9451
254	1.8598	0.00046495	0.01	2.2765	0.99	0.029419	0.62046	1	0	-19.384	-19.383	1	1.8598	2.2765
255	2.5233	0	0.93702	249.17	0.062983	4.0587	0.061372	2	0	-24.532	-27.171	0.071381	10.125	2.8031
256	6.6518	4.3231	0.8157	4.4423	0.1843	0	0.66667	0	0	-27.064	-27.064	1	6.8025	4.2844
257	5.1117e-06	2.01e-06	0.60867	32.454	0.39133	6.7672	0.015225	2	0	-33.833	-34.425	0.55321	8.4319e-06	11.842
258	0.01484	8.8955e-07	0.01012	10.349	0.98988	8.1672	0.0074567	1	0	-34.771	-34.753	1	0.014449	10.172
259	5.4453	0.0012663	0.69562	9.2756	0.30438	0.015198	0.63446	1	0	-20.737	-20.765	0.97183	5.4884	2.3911
260	3.0746	1.7538	0.83932	2.1486	0.16068	0	0.66667	0	0	-15.415	-15.415	1	3.0893	1.8021
261	1.7617	0.0001543	0.010175	2.5172	0.98982	0.080392	0.58525	0	0	-20.185	-20.185	0.99967	1.7983	2.4935
262	0.00011793	2.9483e-08	0.01	1.8988	0.99	1.0375	0.31078	1	0	-14.091	-14.088	1	0.00011793	1.8988
263	0.00040784	1.0196e-07	0.01	3.5527	0.99	0.33375	0.47935	1	0	-23.07	-23.067	1	0.00040784	3.5527
264	17.45	5.8647e-07	1	0.48901	0	0	0.66667	0	0	-12.673	-12.673	1	17.339	5.208e-07
265	10.469	7.9429	0.91623	8.2467	0.083773	0	0.66667	0	0	-36.728	-36.727	1	10.126	8.0525
266	3.2745	0.00010705	0.72771	4.0334	0.27229	-0.02901	0.66667	1	0	-14.862	-14.82	1	3.2164	1.061
267	4.0779	0.00019706	1	0.28074	0	0	0.66667	0	0	-10.38	-10.38	0.99999	4.0816	0.00020688
268	5.758	3.479	0.82824	3.3002	0.17176	0	0.66667	0	0	-22.673	-22.673	1	5.7766	3.4608
269	6.944	0	0.63592	40.573	0.36408	2.0973	0.17275	4	0	-44.088	-45.461	0.25327	6.6603	11.578
270	6.8549e-06	1.7137e-09	0.01	6.0041	0.99	5.1253	0.035344	1	0	-22.77	-22.76	1	6.8549e-06	6.0041
271	0.00020098	5.0245e-08	0.01	1.1092	0.99	0.35306	0.47305	1	0	-8.8355	-8.8355	1	0.00020098	1.1092
272	2.8824e-05	7.2061e-09	0.01	1.2179	0.99	0.66974	0.38627	1	0	-8.0855	-8.085	1	2.8824e-05	1.2179
273	0.0014884	2.8419e-06	0.012423	4.4206	0.98758	2.6994	0.1252	1	0	-23.242	-23.263	0.97957	0.067676	4.4233
274	2.8041e-06	1.6808e-10	0.01012	4.7186	0.98988	1.4068	0.25214	0	0	-20.701	-20.696	1	2.7379e-06	4.6579
275	3.819	0.00029642	0.010155	7.7976	0.98984	0.85836	0.34498	3	0	-39.142	-39.145	0.99763	3.7836	7.6895
276	3.3925e-05	1.6595e-05	0.8268	95.411	0.1732	4.3695	0.052228	3	0	-31.88	-32.313	0.64807	3.5273e-05	7.0716
277	6.2642	0	0.74336	6.7655	0.25664	-0.00062861	0.66667	1	0	-14.433	-14.488	0.94678	6.2212	1.4485
278	0	0	1	0	0	0	1	0	0	0	0	1	0	0
279	7.263	0	0.35212	1.4166	0.64788	0	0.66667	0	0	-14.123	-14.114	1	7.3364	0.93469
280	1.9941	3.1574e-05	1	0.2006	0	0	0.66667	0	0	-9.8285	-9.8285	1	1.9906	3.2304e-05
281	0	0	1	0	0	0	1	0	0	0	0	1	0	0
282	0	0	1	0	0	0	1	0	0	0	0	1	0	0
283	3.4018e-06	8.5046e-10	0.01	2.0999	0.99	0.62888	0.39607	2	0	-14.842	-14.841	1	3.4018e-06	2.0999
284	0	0	1	0	0	0	1	0	0	0	0	1	0	0
285	16.45	0	0.91982	87.818	0.080185	1.4956	0.23999	2	0	-24.026	-26.69	0.069682	16.919	3.9765
286	1.4534	7.0177e-06	1	0.16465	0	0	0.66667	0	0	-11.762	-11.762	0.99999	1.4583	7.3643e-06
287	0	0	1	0	0	0	1	0	0	0	0	1	0	0
288	2.7861	1.2695	0.89426	41.799	0.10574	0.61415	0.39969	0	0	-28.297	-28.603	0.73628	3.2449	3.3784
289	0	0	1	0	0	0	1	0	0	0	0	1	0	0
290	0	0	1	0	0	0	1	0	0	0	0	1	0	0
291	5.3678e-06	1.3419e-09	0.01	0.80006	0.99	0.02538	0.62407	1	0	-10.284	-10.283	1	5.3678e-06	0.80006
292	4.5575	2.3949e-05	1	0.29461	0	0	0.66667	0	0	-15.693	-15.693	1	4.5617	2.5144e-05
293	6.0704	4.8523	0.85196	3.809	0.14804	0	0.66667	0	0	-27.295	-27.293	1	6.526	4.7231
294	6.5821	2.2578e-05	1	0.34592	0	0	0.66667	0	0	-12.084	-12.084	0.99999	6.5651	2.3081e-05
295	3.6773e-05	9.1931e-09	0.01	2.2164	0.99	0.67588	0.38482	0	0	-11.175	-11.172	1	3.6773e-05	2.2164
296	0	0	1	0	0	0	1	0	0	0	0	1	0	0
297	0	0	1	0	0	0	1	0	0	0	0	1	0	0
298	0	0	1	0	0	0	1	0	0	0	0	1	0	0
299	26.077	0	0.97125	151.46	0.02875	1.5348	0.23483	1	0	-24.402	-28.342	0.019445	25.41	1.9435
300	2.7834	1.1554	0.95046	77.939	0.049536	0.65681	0.38933	0	0	-22.098	-22.435	0.71378	3.2146	2.3596
301	10.844	6.2522e-05	0.77239	5.1568	0.22761	0	0.66667	0	0	-22.24	-22.24	0.99974	10.75	1.0876
302	0	0	1	0	0	0	1	0	0	0	0	1	0	0
303	1.4075	3.6263e-05	1	0.16166	0	0	0.66667	0	0	-10.308	-10.308	1	1.4122	3.8053e-05
304	0.00010509	4.0078e-05	0.93022	25.486	0.069784	0.58795	0.40624	1	0	-9.4539	-9.5599	0.89939	8.9352e-05	1.1656
305	6.8231	3.4884	0.84073	3.3172	0.15927	0	0.66667	0	0	-23.975	-23.974	1	6.8272	3.4273
306	7.4468e-05	1.8617e-08	0.01	2.8585	0.99	2.1593	0.16707	0	0	-15.136	-15.136	1	7.4468e-05	2.8585
307	5.2972e-07	1.3243e-10	0.01	2.2912	0.99	1.1705	0.28801	2	0	-16.365	-16.363	1	5.2972e-07	2.2912
308	6.472	0.00051675	0.01016	10.809	0.98984	0.25345	0.50742	0	0	-39.865	-39.856	1	6.4945	10.574
309	0	0	1	0	0	0	1	0	0	0	0	1	0	0
310	2.6916	2.852e-06	1	0.07909	0	0	0.66667	0	0	-10.737	-10.737	1	2.6828	3.0363e-06
311	1.3248e-05	1.0832e-05	0.91572	47.675	0.084275	1.5569	0.23198	2	0	-16.265	-16.742	0.621	7.0022e-06	1.9154
312	1.8851	0.00047127	0.01	2.2136	0.99	0.017064	0.63237	1	0	-19.554	-19.553	1	1.8851	2.2136
313	0	0	1	0	0	0	1	0	0	0	0	1	0	0
314	2.8642	7.0536e-06	1	0.2411	0	0	0.66667	0	0	-9.2527	-9.2527	1	2.8586	7.2152e-06
315	0	0	1	0	0	0	1	0	0	0	0	1	0	0
316	0	0	1	0	0	0	1	0	0	0	0	1	0	0
317	6.8033	4.4222e-06	1	0.3411	0	0	0.66667	0	0	-11.715	-11.715	0.99997	6.8409	4.6506e-06
318	0	0	1	0	0	0	1	0	0	0	0	1	0	0
319	0.013103	0.006613	0.50469	2.5757	0.49531	0.39111	0.46105	1	0	-11.152	-11.163	0.98845	0.012834	1.2079
320	0.00043057	1.0764e-07	0.01	1.1325	0.99	0.37838	0.46501	1	0	-8.4251	-8.4241	1	0.00043057	1.1325
321	6.416	0.00048737	0.73916	4.8317	0.26084	0	0.66667	0	0	-14.712	-14.7	1	6.3569	1.2052
322	8.7881	0	0.75204	5.3565	0.24796	0	0.66667	0	0	-23.67	-23.651	1	8.6861	1.2567
323	0	0	1	0	0	0	1	0	0	0	0	1	0	0
324	3.3113	2.218	0.83239	2.0149	0.16761	0	0.66667	0	0	-17.14	-17.14	1	3.2963	2.2042
325	7.5678e-08	0	0.01	1.452	0.99	0.44364	0.44533	1	0	-9.873	-9.8728	1	7.5678e-08	1.452
326	0	0	1	0	0	0	1	0	0	0	0	1	0	0
327	0	0	1	0	0	0	1	0	0	0	0	1	0	0
328	0	0	1	0	0	0	1	0	0	0	0	1	0	0
329	6.1008	3.7198e-07	1	0.32311	0	0	0.66667	0	0	-7.0712	-7.0712	1	6.2305	3.3427e-07
330	2.9195	0	0.7	6.0226	0.3	0.074199	0.58891	1	0	-18.519	-18.572	0.948	2.9195	1.7123
331	7.5948e-09	4.5526e-13	0.01012	6.6709	0.98988	3.3982	0.086624	0	0	-27.582	-27.579	1	7.4159e-09	6.5741
332	6.7722	4.636	0.81483	4.7019	0.18517	0	0.66667	0	0	-26.477	-26.476	1	6.9692	4.6077
333	2.9011	4.5091e-07	1	0.2426	0	0	0.66667	0	0	-9.1034	-9.1034	1	2.8954	4.6124e-07
334	1.9081e-05	1.1438e-09	0.01012	4.5554	0.98988	3.8931	0.066892	3	0	-25.292	-25.293	0.99954	1.863e-05	4.4976
335	5.9031e-06	2.9736e-06	0.83887	71.565	0.16113	4.7091	0.043811	2	0	-23.161	-24.316	0.31511	6.6913e-06	5.0862
336	3.1199	1.0002e-06	1	0.2512	0	0	0.66667	0	0	-8.6729	-8.6729	1	3.1136	1.023e-06
337	0	0	1	0	0	0	1	0	0	0	0	1	0	0
338	6.0253	3.5749	0.82019	3.2237	0.17981	0	0.66667	0	0	-22.862	-22.862	1	6.337	3.5471
339	0	0	1	0	0	0	1	0	0	0	0	1	0	0
340	4.4839	1.2874e-05	1	0.29596	0	0	0.66667	0	0	-8.1692	-8.1692	0.99999	4.4738	1.3165e-05
341	3.3986	2.3285e-05	1	0.26461	0	0	0.66667	0	0	-11.917	-11.917	0.99996	3.3749	2.4124e-05
342	7.7364	4.3416	0.88256	3.9928	0.11744	0	0.66667	0	0	-28	-28	1	7.796	4.4015
343	20.449	8.6283e-09	1	0.49089	0	0	0.66667	0	0	-12.704	-12.704	1	20.482	9.0654e-09
344	2.5604	0.00018926	0.010148	2.614	0.98985	0.00041211	0.66173	2	0	-20.192	-20.191	1	2.5356	2.5631
345	1.8607	3.7285e-06	1	0.19549	0	0	0.66667	0	0	-8.6794	-8.6794	0.99998	1.8499	3.8674e-06
346	5.6943	6.4417e-07	1	0.12423	0	0	0.66667	0	0	-8.2295	-8.2294	1	5.7193	5.4799e-07
347	0	0	1	0	0	0	1	0	0	0	0	1	0	0
348	1.1421e-05	2.8554e-09	0.01	5.2579	0.99	1.6349	0.22221	1	0	-21.493	-21.487	1	1.1421e-05	5.2579
349	6.7851	4.8913e-05	1	0.34582	0	0	0.66667	0	0	-16.882	-16.882	1	6.7924	5.1361e-05
350	2.605	1.1455	0.87463	1.2337	0.12537	0	0.66667	0	0	-16.333	-16.333	1	2.6355	1.1592
351	3.5134e-05	8.7834e-09	0.01	3.7976	0.99	1.9429	0.1878	2	0	-11.787	-11.784	1	3.5134e-05	3.7976
352	3.1678	0.00025293	0.01016	8.0004	0.98984	0.69593	0.38016	1	0	-25.174	-25.172	1	3.1765	7.8444
353	9.1985	0.0022996	0.01	9.9052	0.99	0.0034915	0.65189	4	0	-45.96	-45.943	1	9.1985	9.9052
354	5.2387	0.0011511	0.70489	9.9958	0.29511	0.066179	0.59383	2	0	-28.523	-28.627	0.90136	5.9521	2.6749
355	1.9423e-05	4.8557e-09	0.01	8.8822	0.99	7.2904	0.011655	3	0	-35.594	-35.584	1	1.9423e-05	8.8822
356	0.00022289	0.00011526	0.88326	33.789	0.11674	3.4789	0.083041	2	0	-18.636	-20.206	0.20793	0.00025314	3.3748
357	0.00018994	9.6454e-05	0.49958	18.24	0.50042	5.0379	0.036973	3	0	-30.358	-30.592	0.79074	0.00018406	8.752
358	10.207	0.00082495	0.010162	11.881	0.98984	0.029878	0.62006	1	0	-40.822	-40.821	1	10.22	11.708
359	5.4503e-05	1.3626e-08	0.01	1.0872	0.99	0.3119	0.48668	1	0	-10.373	-10.372	1	5.4503e-05	1.0872
360	3.0594	1.0034e-05	1	0.21631	0	0	0.66667	0	0	-10.133	-10.133	0.99999	3.1464	1.0779e-05
361	16.778	1.575e-05	1	0.9007	0	0	0.66667	0	0	-12.154	-12.154	1	16.762	1.6331e-05
362	2.3074e-05	1.1267e-05	0.84635	109.31	0.15365	5.4302	0.030211	1	0	-26.3	-27.718	0.24234	2.6243e-05	6.9623
363	0	0	1	0	0	0	1	0	0	0	0	1	0	0
364	6.6638	0.00017667	1	0.14789	0	0	0.66667	0	0	-18.572	-18.572	0.99966	6.7929	0.00019201
365	2.0283	9.4312e-06	1	0.20241	0	0	0.66667	0	0	-9.1361	-9.1361	0.99999	2.0247	9.6492e-06
366	0	0	1	0	0	0	1	0	0	0	0	1	0	0
367	0.00015716	3.9289e-08	0.01	1.0375	0.99	0.32521	0.48219	1	0	-8.8046	-8.8045	1	0.00015716	1.0375
368	5.0642e-05	1.266e-08	0.01	1.7821	0.99	0.89508	0.3376	1	0	-8.7862	-8.7845	1	5.0642e-05	1.7821
369	3.6401	0	0.7548	13.477	0.2452	0.73843	0.37052	2	0	-20.491	-21.082	0.55358	3.5249	3.7601
370	3.3533	0.00026774	0.01016	10.305	0.98984	1.2788	0.27089	1	0	-34.174	-34.174	1	3.3626	10.084
371	5.3143	0.79228	0.63095	21.759	0.36905	0.49911	0.42966	1	0	-36.895	-37.142	0.78092	6.756	7.7997
372	1.8195	0.00016081	0.010177	11.221	0.98982	4.0318	0.062234	0	0	-37.801	-37.797	1	1.8563	11.105
373	7.0411	4.5083	0.88303	51.214	0.11697	0.83225	0.35034	0	0	-42.403	-42.716	0.73089	6.1654	8.4664
374	3.2413	0.00028647	0.010177	11.797	0.98982	1.8085	0.20205	0	0	-36.058	-36.057	1	3.3195	11.672
375	26.275	4.768	0.91328	4.5275	0.086725	0	0.66667	0	0	-8.9321	-8.9319	1	25.83	4.6993
376	6.57	0	0.77973	24.161	0.22027	0.79134	0.35896	3	0	-27.715	-28.664	0.38725	6.6084	4.9146
377	3.9515	0.00098787	0.01	14.671	0.99	1.8675	0.19566	0	0	-41.922	-41.913	1	3.9515	14.671
378	3.1527	0.00078818	0.01	3.5535	0.99	0.012104	0.63817	2	0	-24.01	-24.009	1	3.1527	3.5535
379	5.9731	0.024813	0.075145	1.2505	0.92485	0	0.66667	0	0	-12.722	-12.721	1	5.801	1.1924
380	1.9372	0.0004843	0.01	2.353	0.99	0.023868	0.62548	1	0	-18.937	-18.935	1	1.9372	2.353
381	4.3278	0.00034825	0.010161	5.041	0.98984	0.015565	0.63404	0	0	-27.872	-27.872	0.99986	4.3514	4.957
382	9.6143	5.0698	0.93307	5.8547	0.066926	0	0.66667	0	0	-35.702	-35.702	1	9.5634	5.0665
383	1.2432e-05	7.452e-10	0.01012	11.921	0.98988	3.607	0.077657	3	0	-37.406	-37.4	1	1.2138e-05	11.707
384	0.00025356	0.00012398	0.77598	25.519	0.22402	2.1013	0.17238	1	0	-22.199	-22.404	0.81446	0.00024917	3.92
385	0.00015801	3.9504e-08	0.01	1.1074	0.99	0.34106	0.47695	1	0	-9.6633	-9.663	1	0.00015801	1.1074
386	3.4063	0	0.26203	4.6509	0.73797	-0.021294	0.66667	2	0	-20.533	-20.737	0.81592	3.3176	3.505
387	7.4116	0.0035041	0.60912	11.512	0.39088	0.05492	0.60115	3	0	-26.141	-26.415	0.76026	7.5861	4.8552
388	15.013	0.0010505	0.73641	13.202	0.26359	0	0.66667	0	0	-23.08	-23.655	0.5628	14.91	3.953
389	0	0	1	0	0	0	1	0	0	0	0	1	0	0
390	4.665e-05	1.1662e-08	0.01	3.5183	0.99	1.1301	0.29472	2	0	-18.297	-18.297	1	4.665e-05	3.5183
391	5.2988	0.0013247	0.01	13.665	0.99	1.7468	0.20898	3	0	-47.786	-47.778	1	5.2988	13.665
392	2.2965e-05	1.2136e-05	0.44919	23.982	0.55081	3.5057	0.081881	1	0	-37.643	-38.147	0.60394	2.0797e-05	12.097
393	4.4224	0	0.78873	16.969	0.21127	0.40677	0.45627	0	0	-20.438	-20.818	0.6839	5.0095	3.3543
394	0.20562	0.00013782	0.90283	16.541	0.097165	1.743	0.20941	1	0	-11.457	-12.169	0.49108	5.4318	1.4842
395	0.0001517	9.0933e-09	0.01012	4.8226	0.98988	1.4551	0.24545	3	0	-19.724	-19.715	1	0.00014808	4.7601
396	28.224	0.4403	0.012954	4.4706	0.98705	0	0.66667	0	0	-31.093	-31.091	1	28.213	4.4843
397	2.0083e-05	1.0106e-05	0.50667	54.367	0.49333	10.538	0.0022388	3	0	-48.495	-49.202	0.49316	2.161e-05	20.197
398	0.001027	0.00053381	0.8095	53.893	0.1905	7.5113	0.010414	3	0	-28.591	-31.698	0.044737	0.0010609	8.987
399	7.781e-06	1.9453e-09	0.01	2.3393	0.99	0.80808	0.3554	2	0	-13.851	-13.849	1	7.781e-06	2.3393
400	4.6739e-07	2.0457e-07	0.72792	27.521	0.27208	5.0312	0.037099	2	0	-26.831	-27.861	0.35711	1.4919e-06	7.1573
401	0.025862	6.4655e-06	0.01	9.2863	0.99	2.4762	0.14098	1	0	-26.324	-26.32	1	0.025862	9.2863
402	2.1282	0.00053204	0.01	14.04	0.99	3.1851	0.096874	0	0	-45.245	-45.241	1	2.1282	14.04
403	7.4438e-05	3.7219e-05	0.525	7.9109	0.475	1.3462	0.26083	2	0	-21.576	-21.759	0.83305	7.4438e-05	3.9555
404	6.8491	0.00039612	0.75282	5.2753	0.24718	0	0.66667	0	0	-20.315	-20.349	0.9664	6.91	1.143
405	5.2637e-06	1.3159e-09	0.01	2.5882	0.99	1.3445	0.26108	2	0	-11.21	-11.207	1	5.2637e-06	2.5882
406	5.5745e-05	2.8613e-05	0.82129	17.805	0.17871	2.0336	0.1788	0	0	-14.732	-14.831	0.90531	5.9151e-05	2.3329
407	0.00019293	1.1565e-08	0.01012	10.182	0.98988	3.4076	0.086198	3	0	-35.956	-35.958	0.9988	0.00018832	10.01
408	5.4503e-05	1.3626e-08	0.01	1.0872	0.99	0.33615	0.47856	1	0	-8.796	-8.796	1	5.4503e-05	1.0872
409	3.474	2.7438	0.72082	2.281	0.27918	0	0.66667	0	0	-17.452	-17.451	1	3.4972	2.5948
410	0.00031674	7.9185e-08	0.01	1.2816	0.99	1.0854	0.30234	1	0	-8.5845	-8.5833	1	0.00031674	1.2816
411	0	0	1	0	0	0	1	0	0	0	0	1	0	0
412	4.6297	2.9943	0.84863	2.7713	0.15137	0	0.66667	0	0	-29.45	-29.45	1	4.6898	2.9608
413	1.0245e-05	2.5613e-09	0.01	5.9114	0.99	2.7844	0.11968	0	0	-21.558	-21.556	1	1.0245e-05	5.9114
414	1.3816e-06	3.4539e-10	0.01	1.2694	0.99	0.39748	0.4591	1	0	-9.5455	-9.5453	1	1.3816e-06	1.2694
415	0	0	1	0	0	0	1	0	0	0	0	1	0	0
416	2.0698	4.0179e-06	1	0.21455	0	0	0.66667	0	0	-7.6414	-7.6415	0.99984	2.0377	4.216e-06
417	0	0	1	0	0	0	1	0	0	0	0	1	0	0
418	3.2581	2.1737e-06	1	0.085601	0	0	0.66667	0	0	-10.242	-10.242	1	3.2468	2.3137e-06
419	0	0	1	0	0	0	1	0	0	0	0	1	0	0
420	4.7925	0.027476	0.012737	1.0689	0.98726	0	0.66667	0	0	-17.318	-17.317	1	4.8361	1.0816
421	1.5967e-05	3.9918e-09	0.01	1.8882	0.99	0.99271	0.31893	1	0	-8.6136	-8.6133	1	1.5967e-05	1.8882
422	3.1606	0.00032495	0.71439	4.1991	0.28561	0.021047	0.62822	1	0	-14.562	-14.563	0.99863	3.0898	1.0844
423	1.9251	1.0417	0.95356	135.31	0.046435	1.2823	0.27036	0	0	-20.138	-20.785	0.5238	2.7959	2.3801
424	0	0	1	0	0	0	1	0	0	0	0	1	0	0
425	6.8258	0.067902	0.4203	1.6123	0.5797	0	0.66667	0	0	-13.163	-13.147	1	6.6553	1.0384
426	6.0293	1.5411e-05	1	0.099257	0	0	0.66667	0	0	-6.7663	-6.7662	1	6.0828	1.2085e-05
427	1.688e-05	1.0974e-05	0.8969	63.197	0.1031	8.0466	0.0079289	2	0	-18.355	-21.863	0.029937	1.0214	5.7522
428	3.0594	1.0034e-05	1	0.21631	0	0	0.66667	0	0	-8.184	-8.1841	0.99996	3.1464	1.0779e-05
429	3.3819	2.3586e-05	1	0.26089	0	0	0.66667	0	0	-8.088	-8.088	1	3.3749	2.4124e-05
430	0	0	1	0	0	0	1	0	0	0	0	1	0	0
431	0	0	1	0	0	0	1	0	0	0	0	1	0	0
432	3.5362	0.52399	0.70821	22.415	0.29179	0.45976	0.44069	0	0	-34.097	-34.231	0.87436	3.8149	5.5884
433	9.7951e-05	5.0537e-05	0.47844	11.908	0.52156	3.2198	0.095126	2	0	-25.155	-25.265	0.89598	9.1936e-05	6.0902
434	1.5959	0	0.0105	6.304	0.9895	1.0732	0.30446	1	0	-22.322	-22.322	0.9998	1.5959	6.304
435	0.00028793	0	0.01	3.8387	0.99	1.9014	0.19209	1	0	-18.431	-18.431	1	0.00028793	3.8387
436	0	0	1	0	0	0	1	0	0	0	0	1	0	0
437	11.342	5.341	1	13.107	0	0	0.66667	0	0	-31.359	-31.359	1	11.348	5.419
438	0	0	1	0	0	0	1	0	0	0	0	1	0	0
439	3.2798	2.2121	0.81365	2.1154	0.18635	0	0.66667	0	0	-21.04	-21.038	1	3.2552	2.0784
440	6.4808	1.1929e-05	1	0.29898	0	0	0.66667	0	0	-8.4238	-8.4238	1	6.3902	1.0288e-05
441	11.037	0.028794	0.46964	8.1405	0.53036	0	0.66667	0	0	-39.015	-39.026	0.98863	10.874	4.0039
442	0	0	1	0	0	0	1	0	0	0	0	1	0	0
443	0	0	1	0	0	0	1	0	0	0	0	1	0	0
444	6.3331	9.2678e-06	1	0.34082	0	0	0.66667	0	0	-10.977	-10.977	1	6.3169	9.4744e-06
445	0.00024304	8.6135e-05	0.96128	70.334	0.038718	1.2801	0.2707	1	0	-10.389	-10.725	0.71431	0.00021861	1.1204
446	3.2046	8.2808e-06	1	0.085031	0	0	0.66667	0	0	-8.2864	-8.2864	1	3.1936	8.8141e-06
447	3.5226	2.6407e-05	1	0.23822	0	0	0.66667	0	0	-11.147	-11.147	1	3.5175	2.7551e-05
448	0	0	1	0	0	0	1	0	0	0	0	1	0	0
449	0	0	1	0	0	0	1	0	0	0	0	1	0	0
450	3.3059	5.9122e-06	1	0.086104	0	0	0.66667	0	0	-9.4851	-9.4851	0.99998	3.2945	6.2928e-06
451	6.6292	1.844e-05	1	0.30922	0	0	0.66667	0	0	-11.87	-11.87	1	6.6172	1.9232e-05
452	5.8055	2.8917	0.77251	32.573	0.22749	0.70575	0.3779	0	0	-37.133	-37.448	0.73004	7.2964	9.3352
453	4.2333	9.7876e-06	1	0.28867	0	0	0.66667	0	0	-16.29	-16.29	0.99999	4.2239	1.0009e-05
454	9.8834	3.2204e-05	1	0.40041	0	0	0.66667	0	0	-15.023	-15.023	0.99999	9.8537	3.2907e-05
455	5.1166	4.3214	0.77242	4.6028	0.22758	0	0.66667	0	0	-29.529	-29.528	1	4.9232	4.4426
456	0.00019497	4.8743e-08	0.01	1.2272	0.99	0.36557	0.46904	1	0	-10.176	-10.176	1	0.00019497	1.2272
457	4.8968e-07	1.2242e-10	0.01	1.188	0.99	0.71382	0.37606	1	0	-10.522	-10.522	1	4.8968e-07	1.188
458	12.353	4.2839	0.85592	3.7618	0.14408	0	0.66667	0	0	-29.004	-29.002	1	12.101	4.1653
459	1.4481	0.69781	0.92352	56.295	0.076481	3.7935	0.070456	1	0	-21.092	-22.758	0.18902	1.8132	3.8835
460	5.8565	0.063127	0.09022	1.0054	0.90978	0	0.66667	0	0	-17.011	-17.006	1	5.8263	0.9655
461	3.6989	8.2655e-07	1	0.26502	0	0	0.66667	0	0	-8.041	-8.041	0.99998	3.7155	8.6833e-07
462	11.55	1.3615e-05	1	0.83315	0	0	0.66667	0	0	-20.876	-20.876	1	11.492	1.4371e-05
463	7.0746	0.00073411	0.73693	4.6155	0.26307	0	0.66667	0	0	-13.662	-13.597	1	6.6599	1.1326
464	3.1834	3.1151e-05	1	0.084803	0	0	0.66667	0	0	-10.135	-10.135	0.99996	3.1725	3.3158e-05
465	7.3297	0.020143	1e-08	2.6515	1	0	0.66667	0	0	-21.622	-21.622	1	7.4907	2.6621
466	20.542	1.7658e-05	1	0.96745	0	0	0.66667	0	0	-23.515	-23.515	1	20.553	1.8616e-05
467	2.704	0.0001855	1	0.23441	0	0	0.66667	0	0	-15.949	-15.949	0.99999	2.6988	0.00018976
468	2.9212e-05	7.303e-09	0.01	2.2467	0.99	0.57782	0.40881	2	0	-14.973	-14.971	1	2.9212e-05	2.2467
469	0	0	1	0	0	0	1	0	0	0	0	1	0	0
470	5.4119e-06	2.6681e-06	0.86907	24.054	0.13093	1.4367	0.24797	2	0	-17.637	-17.793	0.8555	5.9857e-06	2.0193
471	1.7392	0	0.97028	184.13	0.029723	1.3234	0.26418	1	0	-15.981	-16.7	0.48728	3.2896	0.97182
472	3.6528	2.5914e-06	1	0.26725	0	0	0.66667	0	0	-15.407	-15.407	1	3.656	2.7206e-06
473	0	0	1	0	0	0	1	0	0	0	0	1	0	0
474	5.6408e-05	3.3813e-09	0.01012	5.7089	0.98988	2.0998	0.17252	2	0	-25.654	-25.654	1	5.507e-05	5.6305
475	0	0	1	0	0	0	1	0	0	0	0	1	0	0
476	0	0	1	0	0	0	1	0	0	0	0	1	0	0
477	1.7091e-07	1.0783e-07	0.89373	117.64	0.10627	5.3362	0.031707	3	0	-23.61	-25.192	0.20552	4.3866e-07	5.7884
478	0	0	1	0	0	0	1	0	0	0	0	1	0	0
479	0	0	1	0	0	0	1	0	0	0	0	1	0	0
480	6.7552	4.8839e-05	1	0.34019	0	0	0.66667	0	0	-10.581	-10.581	0.99999	6.7924	5.1361e-05
481	0.00011853	5.6147e-05	0.81781	52.351	0.18219	6.3257	0.019081	2	0	-27.115	-29.028	0.14765	0.00012068	6.099
482	0	0	1	0	0	0	1	0	0	0	0	1	0	0
483	3.3947	0.00028516	0.010168	4.0121	0.98983	0.016607	0.63287	2	0	-21.216	-21.215	1	3.4481	3.9564
484	3.0588	3.8177e-07	1	0.24269	0	0	0.66667	0	0	-7.9054	-7.9054	1	3.0717	4.0096e-07
485	0	0	1	0	0	0	1	0	0	0	0	1	0	0
486	12.35	0.14234	1e-08	1.4229	1	0	0.66667	0	0	-14.754	-14.754	1	12.402	1.4583
487	0.00029686	0.00012505	0.94938	48.163	0.050619	1.3784	0.25617	1	0	-10.883	-11.077	0.82376	0.00031674	1.2816
488	0.00022279	0.00011244	0.50469	2.3856	0.49531	0.61803	0.39873	1	0	-9.8467	-9.8518	0.99499	0.00021861	1.1204
489	0	0	1	0	0	0	1	0	0	0	0	1	0	0
490	0	0	1	0	0	0	1	0	0	0	0	1	0	0
